Albania	อัลเบเนีย	สาธารณรัฐแอลเบเนีย
Turkey	เทอรฺคี	สาธารณรัฐตุรกี
Turkmenistan	เทิรฺกเมนิสฺทาน	เติร์กเมนิสถาน
United Arab Emirates	ยูไนถิด แอหรับ เอะเมอเริทฺ	สหรัฐอาหรับเอมิเรตส์
Uzbekistan	อุซฺเบคิสฺทาน	สาธารณรัฐอุซเบกิสถาน
Vietnam	เวียตนาม	สาธารณรัฐสังคมนิยมเวียดนาม
Yemen	เยเมน	สาธารณรัฐเยเมน
Hongkong	ฮองคอง	ฮ่องกง
 

Africa ทวีปแอฟริกา
ชื่อประเทศภาษาอังกฤษ	คำอ่าน	ชื่อประเทศภาษาไทย
Algeria	อัลจีเรีย	สาธารณรัฐประชาธิปไตยประชาชนแอลจีเรีย
Angola	แองโกลา	สาธารณรัฐแองโกลา
Benin	เบอนิน	สาธารณรัฐเบนิน
Botswana	บอทสวานา	สาธารณรัฐบอตสวานา
Burkina Faso	เบอรฺคีนา ฟาโซ	บูร์กินาฟาโซ
Burundi	เบอะรุนดิ	สาธารณรัฐบุรุนดี
Cabo Verde	คาบู เวอดี	สาธารณรัฐกาบูเวร์ดี
Cameroon	คาเมรูน	สาธารณรัฐแคเมอรูน
Central African Republic	เซนทรัล แอฟริกัน รีพับบลิก	สาธารณรัฐแอฟริกากลาง
Chad	แชด	สาธารณรัฐชาด
Comoros	คอมอรอส	สหภาพคอโมโรส
Congo Republic	คองโก รีพับบลิค	สาธารณรัฐคองโก
Democratic Republic of Congo	เดมอเครติก รีพับบลิค ออฟ คองโก (คองโก)	สาธารณรัฐประชาธิปไตยคองโก (คองโก)
Cote d’Ivoire	โคท ดี วารฺ	สาธารณรัฐโกตดิวัวร์ (ไอวอรี่โคสต์)
Djibouti	จิบูที	สาธารณรัฐจิบูตี
Egypt	อีจิบทฺ	สาธารณรัฐอาหรับอียิปต์
Equatorial Guinea	อีควาทอเรียล กีนี	สาธารณรัฐอิเควทอเรียลกินี
Eritrea	แอรีเทรีย	รัฐเอริเทรีย
Ethiopia	เอธิโอเพีย	สหพันธ์สาธารณรัฐประชาธิปไตยเอธิโอเปีย
Gabon	กาบอน	สาธารณรัฐกาบอง
Gambia	แกมเบีย	สาธารณรัฐแกมเบีย
Ghana	กานา	สาธารณรัฐกานา
Guinea	กีนี	สาธารณรัฐกินี
Guinea-Bissau	กีนี บิซาว	สาธารณรัฐกินี-บิสเซา
Kenya	เคนยา	สาธารณรัฐเคนยา
Lesotho	เลโซโท	ราชอาณาจักรเลโซโท
Liberia	ไลบีเรีย	สาธารณรัฐไลบีเรีย
Libya	ลิเบีย	สาธารณรัฐสังคมนิยมประชาชนอาหรับลิเบีย
Madagascar	มาดากัสฺการฺ	สาธารณรัฐมาดากัสการ์
Malawi	มาลาวี	สาธารณรัฐมาลาวี
Mali	มาลี	สาธารณรัฐมาลี
Mauritania	เมาริเทเนีย	สาธารณรัฐอิสลามมอริเตเนีย
Mauritius	เมาริเชียสฺ	สาธารณรัฐมอริเชียส
Morocco	โมรอคโค	ราชอาณาจักรโมร็อกโก
Mozambique	โมแซมบิค	สาธารณรัฐโมซัมบิก
Namibia	นามิเบีย	สาธารณรัฐนามิเบีย
Niger	ไนเจอรฺ	สาธารณรัฐไนเจอร์
Nigeria	ไนจีเรีย	สหพันธ์สาธารณรัฐไนจีเรีย
Rwanda	รวันดา	สาธารณรัฐรวันดา
Sao Tome and Principe	เซาทูเม แอนดฺ พรีนซิพี	สาธารณรัฐประชาธิปไตยเซาตูเมและปรินซิปี
Senegal	เซเนกัล	สาธารณรัฐเซเนกัล
Seychelles	เซเชลสฺ	สาธารณรัฐเซเชลส์
Sierra Leone	ซีเอรา ลีโอน	สาธารณรัฐเซียร์ราลีโอน
Somalia	โซมาเลีย	สาธารณรัฐประชาธิปไตยโซมาลี (โซมาเลีย)
South Africa	เซาทฺ แอฟริกา	สาธารณรัฐแอฟริกาใต้
Sudan	ซูดาน	สาธารณรัฐซูดาน
Swaziland	สวาซิแลนดฺ	ราชอาณาจักรสวาซิแลนด์
Tanzania	แทนซาเนีย	สหสาธารณรัฐแทนซาเนีย
Togo	โทโก	สาธารณรัฐโตโก
Tunisia	ทูนีเชีย	สาธารณรัฐตูนิเซีย
Uganda	อูกันดา	สาธารณรัฐยูกันดา
Zambia	แซมเบีย	สาธารณรัฐแซมเบีย
Zimbabwe	ซิมบับเว	สาธารณรัฐซิมบับเว
 

North America ทวีปอเมริกาเหนือ
ชื่อประเทศภาษาอังกฤษ	คำอ่าน	ชื่อประเทศภาษาไทย
Antigua and Barbuda	แอนทีกา แอนด์ บาบูดา	แอนติกาและบาร์บูดา
Bahamas	มาฮามาส	เครือรัฐบาฮามาส
Barbados	บาเบโดส	บาร์เบโดส
Belize	เบลีซฺ	เบลีซ
Canada
แคนาดา
แคนาดา
Costa Rica
คอสตา ริคา
สาธารณรัฐคอสตาริกา
Cuba
คิวบา
สาธารณรัฐคิวบา
Dominica
โดมินิคา
เครือรัฐโดมินิกา
Dominican Republic
โดมินิกัน รีพับบลิค
สาธารณรัฐโดมินิกัน
El Salvador
เอล ซัลวาดอรฺ
สาธารณรัฐเอลซัลวาดอร์
Grenada
เกรนาดา
Guatemala
กัวเทมาลา
สาธารณรัฐกัวเตมาลา
Haiti
ไฮที
สาธารณรัฐเฮติ
Honduras
ฮอนดูรัส
สาธารณรัฐฮอนดูรัส
Jamaica
จาไมกา
จาเมกา
Mexico
เม็กซฺซิโกสหรัฐเม็กซิโก
Nicaragua
นิคารากัว
สาธารณรัฐนิการากัว
Panama
ปานามา
สาธารณรัฐปานามา
St. Kitts and Nevis
เซนทฺ คิทสฺ แอนด์ เนวิสฺ
สหพันธรัฐเซนต์คิตส์และเนวิส
St. Lucia
เซนทฺ ลูเซีย
เซนต์ลูเซีย
St. Vincent and The Grenadines
เซนทฺ วินเซนทฺ แอนดฺ เดอะ เกรนนาดีนซฺ
เซนต์วินเซนต์และเกรนาดีนส์
USA
United States of America
ยูเอสเอ
ยูไนถิด สเตท ออฟ อะเมริคา
สหรัฐอเมริกา
Argentina
อาเจนทินา
สาธารณรัฐอาร์เจนตินา
Bolivia
โบลิเวีย
สาธารณรัฐโบลิเวีย
Brazil
บราซิลฺ
สหพันธ์สาธารณรัฐบราซิล
Chile
ชิลี
สาธารณรัฐชิลี
Colombia
โคลอมเบีย
สาธารณรัฐโคลอมเบีย
Ecuador
เอกัวดอรฺ
สาธารณรัฐเอกวาดอร์
Guyana
กายยานา
สาธารณรัฐสหกรณ์กายอานา
Paraguay
พาราไกว
สาธารณรัฐปารากวัย
Peru
เพรู
สาธารณรัฐเปรู
Suriname
เซอรานาม
สาธารณรัฐซูรินาม
Trinidad and Tobago
ทรินนิแดด แอนดฺ โทบาโก
สาธารณรัฐตรินิแดดและโตเบโก
Uruguay
อุรุกไกว
สาธารณรัฐบูรพาอุรุกวัย
Venezuela
เวเนซูเอลา
สาธารณรัฐโบลีวาร์แห่งเวเนซุเอลา
Australia
ออสฺเตรเลีย
เครือรัฐออสเตรเลีย
Fiji
ฟีจิ
สาธารณรัฐหมู่เกาะฟิจิ
Kiribati
คิริบาทิ
สาธารณรัฐคิริบาส
Marshall Islands
มารฺแชล ไอซฺแลนดฺ
สาธารณรัฐหมู่เกาะมาร์แชลล์
Micronesia
ไมโครนีเชีย
สหพันธรัฐไมโครนีเซีย
Nauruนาอูรู
สาธารณรัฐนาอูรู
New Zealand
นิว ซีแลนด์
นิวซีแลนด์
Palau
พาลาว
สาธารณรัฐปาเลา
Papua New Guinea
พาพัว นิว กีนี
ปาปัวนิวกินี
Samoa
ซาโมอา
รัฐเอกราชซามัว
Solomon Islands
โซโลมอน ไอซฺแลนดฺ
หมู่เกาะโซโลมอน
Tonga
ทองกา
ราชอาณาจักรตองกา
Tuvalu
ทูวาลู
ตูวาลู
Vanuatu
แวนวาทู
สาธารณรัฐวานูอาตู
